C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\center_2019_08_21_21_46_18_230.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\left_2019_08_21_21_46_18_230.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\right_2019_08_21_21_46_18_230.jpg,0,1,0,30.19064
C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\center_2019_08_21_21_46_18_296.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\left_2019_08_21_21_46_18_296.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\right_2019_08_21_21_46_18_296.jpg,-0.15,1,0,30.18449
C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\center_2019_08_21_21_46_18_367.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\left_2019_08_21_21_46_18_367.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\right_2019_08_21_21_46_18_367.jpg,-0.3,1,0,30.16962
C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\center_2019_08_21_21_46_18_437.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\left_2019_08_21_21_46_18_437.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\right_2019_08_21_21_46_18_437.jpg,-0.5000001,1,0,30.14601
C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\center_2019_08_21_21_46_18_508.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\left_2019_08_21_21_46_18_508.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\right_2019_08_21_21_46_18_508.jpg,0,1,0,30.1731
C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\center_2019_08_21_21_46_18_580.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\left_2019_08_21_21_46_18_580.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\right_2019_08_21_21_46_18_580.jpg,0,1,0,30.18708
C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\center_2019_08_21_21_46_18_652.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\left_2019_08_21_21_46_18_652.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\right_2019_08_21_21_46_18_652.jpg,0,1,0,30.18973
C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\center_2019_08_21_21_46_18_723.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\left_2019_08_21_21_46_18_723.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\right_2019_08_21_21_46_18_723.jpg,0,1,0,30.19018
C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\center_2019_08_21_21_46_18_790.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\left_2019_08_21_21_46_18_790.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\right_2019_08_21_21_46_18_790.jpg,0,1,0,30.19027
C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\center_2019_08_21_21_46_18_859.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\left_2019_08_21_21_46_18_859.jpg,C:\21\self_drive_car\main\Lesson_18_Project_4_Behavioral_cloning\GitHub\Behavioral-Cloning\CarND-Behavioral-Cloning-P3\Data\IMG\right_2019_08_21_21_46_18_859.jpg,0,1,0,30.19032
